1	26
2	26
3	25
4	21
5	29
6	12
7	0
8	0
9	26
10	10
11	2
12	6
13	0
14	33
15	21
16	17
17	9
18	31
19	14
20	2
21	31
22	16
23	16
24	9
25	36
26	18
27	31
28	21
29	11
30	20
31	3
32	0
33	3
34	14
35	29
36	26
37	8
38	21
39	16
40	0
41	23
42	15
43	26
44	23
45	18
46	19
47	25
48	24
49	15
50	4
51	4
52	27
53	23
54	16
55	28
56	21
57	1
58	8
59	17
60	12
61	28
62	19
63	4
64	32
65	20
66	19
67	19
68	30
69	31
70	15
71	25
72	4
73	33
74	24
75	8
76	4
77	22
78	10
79	34
80	31
81	11
82	1
83	5
84	29
85	5
86	24
87	5
88	9
89	15
90	17
91	27
92	13
93	0
94	17
95	16
96	5
97	10
98	1
99	2
100	16
101	7
102	25
103	24
104	33
105	28
106	12
107	18
108	24
109	27
110	6
111	33
112	15
113	8
114	8
115	20
116	28
117	13
118	35
119	15
120	28
121	18
122	33
123	11
124	23
125	12
126	13
127	18
128	13
129	28
130	29
131	26
132	12
133	20
134	3
135	27
136	11
137	31
138	21
139	18
140	27
141	11
142	19
143	30
144	29
145	17
146	19
147	13
148	18
149	8
150	20
151	4
152	0
153	19
154	1
155	25
156	5
157	11
158	4
159	1
160	20
161	12
162	23
163	33
164	26
165	18
166	15
167	30
168	7
169	9
170	1
171	33
172	8
173	31
174	3
175	10
176	7
177	29
178	8
179	28
180	13
181	15
182	16
183	23
184	21
185	6
186	15
187	11
188	4
189	9
190	28
191	35
192	1
193	9
194	28
195	3
196	19
197	3
198	25
199	23
200	1
201	0
202	2
203	23
204	3
205	26
206	31
207	9
208	12
209	14
210	24
211	5
212	10
213	20
214	16
215	19
216	12
217	2
218	23
219	19
220	10
221	30
222	9
223	13
224	23
225	6
226	13
227	2
228	18
229	22
230	6
231	27
232	21
233	29
234	35
235	5
236	31
237	2
238	20
239	7
240	27
241	3
242	7
243	4
244	18
245	16
246	12
247	1
248	3
249	27
250	14
251	11
252	22
253	25
254	5
255	3
256	12
257	23
258	29
259	4
260	4
261	13
262	23
263	27
264	31
265	18
266	8
267	5
268	7
269	20
270	31
271	0
272	7
273	23
274	16
275	5
276	24
277	18
278	19
279	32
280	14
281	26
282	28
283	20
284	31
285	18
286	18
287	23
288	11
289	28
290	16
291	14
292	3
293	27
294	8
295	28
296	20
297	5
298	30
299	19
300	24
301	24
302	17
303	20
304	1
305	29
306	28
307	8
308	10
309	7
310	21
311	14
312	7
313	27
314	17
315	3
316	16
317	26
318	10
319	31
320	15
321	31
322	5
323	10
324	29
325	33
326	12
327	19
328	19
329	3
330	18
331	33
332	30
333	17
334	14
335	21
336	33
337	24
338	11
339	12
340	2
341	24
342	2
343	3
344	17
345	33
346	27
347	0
348	9
349	30
350	22
351	4
352	5
353	0
354	33
355	16
356	15
357	19
358	26
359	7
360	5
361	27
362	0
363	23
364	25
365	9
366	2
367	17
368	19
369	1
370	21
371	20
372	16
